time,open,high,low,close,volume,symbol
2026-05-14,60.5,61.5,60.0,61.0,5612100,VCB
2026-05-15,61.3,61.7,60.7,60.7,8271800,VCB
2026-05-14,42.9,44.25,42.85,43.55,11071100,BID
2026-05-15,44.0,44.0,42.85,42.95,10515600,BID
2026-05-14,35.65,36.2,35.6,35.95,9116900,CTG
2026-05-15,36.25,36.3,35.4,35.8,10368400,CTG
2026-05-14,33.6,34.0,33.6,34.0,10236700,TCB
2026-05-15,34.35,34.8,33.95,34.05,22577300,TCB
2026-05-14,25.85,26.1,25.8,25.85,13084300,MBB
2026-05-15,26.05,26.05,25.6,25.65,22577500,MBB
2026-05-14,22.5,22.9,22.5,22.8,16144400,ACB
2026-05-15,22.8,23.35,22.8,23.3,21591900,ACB
2026-05-14,27.26,28.15,27.26,28.15,25296665,VPB
2026-05-15,28.2,28.25,27.55,27.55,12744400,VPB
2026-05-14,27.8,28.15,27.8,28.1,11585200,SSI
2026-05-15,28.2,28.35,27.85,27.9,13001900,SSI
2026-05-14,16.35,16.5,16.25,16.4,5858800,VND
2026-05-15,16.45,16.6,16.3,16.45,5929500,VND
2026-05-14,28.5,28.85,28.15,28.25,9156300,HCM
2026-05-15,28.4,28.9,28.15,28.75,9187900,HCM
2026-05-14,71.1,75.3,71.0,73.9,21565500,FPT
2026-05-15,74.2,74.2,72.7,72.9,6386100,FPT
2026-05-14,83.7,84.6,83.2,84.2,4001800,MWG
2026-05-15,84.5,84.6,82.0,82.0,6691900,MWG
2026-05-14,27.3,27.4,27.05,27.05,14068257,HPG
2026-05-15,27.05,27.1,26.45,26.55,75838200,HPG
2026-05-14,218.0,232.0,211.5,229.8,3746700,VIC
2026-05-15,229.8,231.8,224.0,228.0,3910800,VIC
2026-05-14,152.9,157.0,148.7,157.0,5542500,VHM
2026-05-15,157.0,158.8,153.7,158.0,4836400,VHM
2026-05-14,84.5,85.8,83.2,83.6,4068100,GAS
2026-05-15,82.8,89.4,82.6,89.4,4986200,GAS
2026-05-14,40.5,41.75,39.75,39.85,5371100,PLX
2026-05-15,39.4,42.35,39.4,42.2,9229000,PLX
2026-05-14,79.3,79.5,78.6,79.1,4324500,MSN
2026-05-15,79.1,79.1,77.1,77.5,4808600,MSN
2026-05-14,59.3,60.1,59.3,60.1,3058300,VNM
2026-05-15,60.1,60.3,59.8,59.8,2010300,VNM
2026-05-14,60.5,61.1,60.4,60.5,892800,REE
2026-05-15,60.7,60.8,60.1,60.3,704600,REE
